City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,jordbro,59.1497,18.1167,3.8,96,35,0.45,SE,1738029253
121,havre,49.5833,0.3333,7.87,76,100,10.29,FR,1738029254
122,longyearbyen,78.2186,15.6401,-0.09,69,75,8.75,SJ,1738029255
123,saldanha,-33.0117,17.9442,19.1,80,2,5.03,ZA,1738029256
124,jalai nur,49.45,117.7,-19.65,92,94,2.22,CN,1738029257
125,lubang,13.8584,120.124,25.61,75,100,10.41,PH,1738029258
126,jamestown,42.097,-79.2353,-1.91,50,0,11.83,US,1738029259
127,saudarkrokur,65.7461,-19.6394,-10.23,78,81,1.12,IS,1738029261
128,afaahiti,-17.75,-149.2833,26.4,77,6,6.97,PF,1738029262
129,nenagh bridge,52.8817,-8.1958,6.41,93,100,7.16,IE,1738029263
130,yei,4.095,30.6779,20.27,33,5,1.22,SS,1738029264
131,raja,8.4596,25.678,17.1,22,0,2.44,SS,1738029265
132,kone,-21.0595,164.8658,31.72,56,84,2.01,NC,1738029267
133,corinto,37.9407,22.9573,10.91,86,0,1.21,GR,1738029268
134,chestertown,39.209,-76.0666,2.84,68,0,3.81,US,1738029269
135,sao joao da barra,-21.6403,-41.0511,24.96,90,100,0.99,BR,1738029270
136,pimentel,-6.8367,-79.9342,23.16,78,0,7.2,PE,1738029271
137,enewetak,11.3474,162.3373,27.19,80,55,8.66,MH,1738029272
138,langtoucun,40.0261,124.3286,-7.51,69,98,6.86,CN,1738029273
139,tidjikja,18.5564,-11.4271,22.06,13,0,7.75,MR,1738029276
140,kingston,17.997,-76.7936,26.53,74,20,2.57,JM,1738029277
141,uba,-21.12,-42.9428,22.59,94,100,1.13,BR,1738029278
142,aberdeen,57.1437,-2.0981,5.27,93,100,2.06,GB,1738029279
143,vilyuchinsk,52.9306,158.4028,-6.85,84,100,0.73,RU,1738029280
144,walvis bay,-22.9575,14.5053,17.83,90,61,2.61,NA,1738029282
145,laguna,38.421,-121.4238,11.73,55,2,0.45,US,1738029283
146,ilulissat,69.2167,-51.1,-13.99,47,54,1.54,GL,1738029284
147,alesund,62.4723,6.1549,5.08,72,40,2.57,NO,1738029285
148,selfoss,63.9331,-20.9971,-5.55,83,100,4.37,IS,1738029286
149,sijunjung,-0.6876,100.9537,23.54,96,100,0.58,ID,1738029288
150,port alfred,-33.5906,26.891,20.66,100,100,0.89,ZA,1738029289
151,olyokminsk,60.3736,120.4264,-25.95,95,100,0.69,RU,1738029290
152,okha,53.5739,142.9478,-10.58,90,100,7.07,RU,1738029291
153,minot,48.2325,-101.2963,-0.88,74,100,6.69,US,1738029292
154,spring creek,40.7266,-115.5859,-1.22,50,5,2.01,US,1738029294
155,ulladulla,-35.35,150.4667,24.7,72,10,9.62,AU,1738029295
156,pyhajarvi,67.0701,27.2176,-6.45,99,100,2.0,FI,1738029296
157,santa elena de uairen,4.6167,-61.1333,20.26,80,80,1.0,VE,1738029297
158,la manga del mar menor,37.6413,-0.7165,18.47,40,0,6.26,ES,1738029298
159,la ligua,-32.4524,-71.2311,19.77,74,0,1.31,CL,1738029299
160,haiku-pauwela,20.9219,-156.3051,21.81,86,100,5.66,US,1738029300
161,kayangel,8.0823,134.7173,26.12,89,100,7.48,PW,1738029301
162,dunedin,-45.8742,170.5036,18.78,66,8,4.92,NZ,1738029302
163,miragoane,18.4423,-73.0876,26.29,76,4,2.09,HT,1738029304
164,nagqu,31.5,92.0,-11.82,16,0,0.22,CN,1738029305
165,cole harbour,44.6724,-63.4751,0.71,69,73,8.94,CA,1738029306
166,holbrook,40.8123,-73.0784,3.2,71,0,4.63,US,1738029307
167,fale old settlement,-9.3852,-171.2468,28.29,72,60,5.1,TK,1738029308
168,gadzhiyevo,69.2551,33.3362,-6.53,86,100,4.67,RU,1738029309
169,chinde,26.8212,87.7095,15.7,58,0,1.53,NP,1738029310
170,napier,-39.4833,176.9167,19.6,46,100,3.13,NZ,1738029311
171,lasem,-6.6922,111.4527,25.52,87,100,0.95,ID,1738029312
172,fort st. john,56.2499,-120.8529,4.94,45,75,9.26,CA,1738029212
173,isabela,6.7085,121.9711,30.03,76,100,4.02,PH,1738029314
174,sarkisla,39.3519,36.4098,-1.23,63,1,1.46,TR,1738029315
175,weno,7.4515,151.8468,29.97,84,75,6.17,FM,1738029316
176,bredasdorp,-34.5322,20.0403,19.5,76,100,7.57,ZA,1738029317
177,santa vitoria do palmar,-33.5189,-53.3681,20.5,89,32,3.1,BR,1738029318
178,hawaiian paradise park,19.5933,-154.9731,25.73,78,100,5.14,US,1738029319
179,puerto ayora,-0.7393,-90.3518,24.75,97,97,1.79,EC,1738029321
180,bereeda,11.8704,51.0579,21.02,80,92,1.49,SO,1738029322
181,meadow lakes,61.6247,-149.6011,-2.6,69,0,7.2,US,1738029323
182,corpus christi,27.8006,-97.3964,13.13,93,100,4.63,US,1738029324
183,whitehorse,60.7161,-135.0538,0.57,43,20,8.75,CA,1738029243
184,sekong,-6.3996,106.0252,26.39,87,73,2.75,ID,1738029326
185,padang,-0.9492,100.3543,24.03,83,100,1.68,ID,1738029327
186,savanna-la-mar,18.219,-78.1332,25.52,89,37,0.97,JM,1738029328
187,bandar abbas,27.1865,56.2808,15.99,72,75,3.09,IR,1738029329
